Date,Close,Adj Close
2016-02-01,206.559998,206.559998
2016-02-02,194.289993,194.289993
2016-02-03,194.699997,194.699997
2016-02-04,197.410004,197.410004
2016-02-05,187.220001,187.220001
2016-02-08,183.740005,183.740005
2016-02-09,177.119995,177.119995
2016-02-10,182.100006,182.100006
2016-02-11,180.449997,180.449997
2016-02-12,182.649994,182.649994
2016-02-16,187.490005,187.490005
2016-02-17,192.410004,192.410004
2016-02-18,197.429993,197.429993
2016-02-19,204.360001,204.360001
2016-02-22,210.889999,210.889999
2016-02-23,206.460007,206.460007
2016-02-24,210.759995,210.759995
2016-02-25,212.600006,212.600006
2016-02-26,212.690002,212.690002
