Date,Close,Adj Close
2016-02-01,74.379997,74.23354
2016-02-02,73.400002,73.255474
2016-02-03,74.379997,74.23354
2016-02-04,73.68,73.534921
2016-02-05,71.540001,71.399136
2016-02-08,67.769997,67.636555
2016-02-09,68.330002,68.195457
2016-02-10,70.150002,70.011873
2016-02-11,68.470001,68.335181
2016-02-12,70.419998,70.281338
2016-02-16,71.099998,70.96
2016-02-17,72.029999,72.029999
2016-02-18,71.239998,71.239998
2016-02-19,71.529999,71.529999
2016-02-22,73.059998,73.059998
2016-02-23,72.150002,72.150002
2016-02-24,71.849998,71.849998
2016-02-25,73.269997,73.269997
2016-02-26,72.730003,72.730003
2016-02-29,72.389999,72.389999
