symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
TWTR,2015-06-30,False,Q2,2015,10-Q,502383000.0,-131004000.0,-136663000.0,-0.21,-0.21,0.0,6230334000.0,4270427000.0,424841000.0,883307000.0,4231184000.0,182160000.0,-755536000.0,-40852000.0
TWTR,2014-12-31,False,FY,2014,10-K,1403002000.0,-538866000.0,-577820000.0,-0.96,-0.96,0.0,5583082000.0,4255853000.0,393794000.0,1510724000.0,3626403000.0,81796000.0,-1097272000.0,1691722000.0
TWTR,2015-09-30,False,Q3,2015,10-Q,569237000.0,-105237000.0,-131690000.0,-0.2,-0.2,0.0,6289064000.0,4263559000.0,427778000.0,876432000.0,4274163000.0,283828000.0,-834662000.0,-68210000.0
TWTR,2014-03-31,False,Q1,2014,10-Q,250492000.0,-129371000.0,-132362000.0,-0.23,-0.23,0.0,3356209000.0,2505380000.0,261251000.0,960755000.0,2936846000.0,42683000.0,112963000.0,-36473000.0
TWTR,2015-03-31,False,Q1,2015,10-Q,435939000.0,-146616000.0,-162442000.0,-0.25,-0.25,0.0,5643417000.0,4194091000.0,394295000.0,1607405000.0,3687097000.0,92181000.0,59219000.0,-35971000.0
TWTR,2014-06-30,False,Q2,2014,10-Q,312166000.0,-149911000.0,-144642000.0,-0.24,-0.24,0.0,3584817000.0,2463886000.0,370375000.0,844976000.0,3046593000.0,124380000.0,-99639000.0,-23085000.0
TWTR,2014-09-30,False,Q3,2014,10-Q,361266000.0,-161431000.0,-175464000.0,-0.29,-0.29,0.0,5448654000.0,4173885000.0,442476000.0,2252795000.0,3525038000.0,38478000.0,-235710000.0,1612550000.0
